Quantity,Value,Footprint,Reference
2,LED/RED/0603,LED_0603_KA,"Act/Sus1, PWR_LED1"
1,SIDE_B3F-3150,B3F-31XX,BOOT1
1,PLASTIC CAP BLACK FOR B3F-3150(B32-2010(black)),BUT-CAP_B32-2010(black),BOOT1-1
21,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C13, C14, C22, C24, C32, C37, C38, C39, C41, C42, C44"
5,2.2uF/6.3V/20%/X5R/C0402,C_0402_5MIL_DWS,"C11, C12, C40, C43, C45"
2,27pF/50V/5%/C0G/C0402,C_0402_5MIL_DWS,"C15, C16"
4,22uF/6.3V/20%/X5R/C0603,C_0603_5MIL_DWS,"C18, C28, C35, C36"
3,10uF/6.3V/20%/X5R/C0402,C_0402_5MIL_DWS,"C20, C21, C23"
3,47uF/6.3V/20%/X5R/C0805,C_0805_5MIL_DWS,"C27, C33, C34"
2,1N5822/SS34/SMA,SMA-KA,"D1, D3"
1,1N4148W/SOD123,SOD-123_1C-2A_KA,D2
1,HDMI-SWM-19,HDMI-SWM-19_Paste,DVI1
1,1.0uH/4.2A/DCR=35mR/20%/2.00x1.60x1.00mm/L2016(PIM201610-1R0MTS00),L_2016_MM,L1
4,LED/GREEN/0603,LED_0603_KA,"LED_HOST1, LED_HOST2, LED_HOST3, LED_HOST4"
1,SS-12D11G5,SS-12D11G5,PWR_OFF/ON1
2,Q12MHz/18pF/30ppm/4P/3.2x2.5mm(ABM8-12.000MHZ-D2Y-T),TSX-3.2x2.5mm_GND(3),"Q1, Q2"
1,BC817-40(SOT23),SOT23,Q3
7,2.2k/R0402,R_0402_5MIL_DWS,"R1, R20, R21, R22, R27, R46, R50"
15,10k/R0402,R_0402_5MIL_DWS,"R2, R13, R14, R16, R17, R19, R24, R28, R29, R30, R31, R32, R41, R42, R43"
1,1k/R0402,R_0402_5MIL_DWS,R4
2,27R/R0402,R_0402_5MIL_DWS,"R5, R6"
4,5.1k/1%/R0402,R_0402_5MIL_DWS,"R7, R9, R44, R45"
1,100R/R0402,R_0402_5MIL_DWS,R8
1,56.2k/1%/R0402,R_0402_5MIL_DWS,R10
1,12.4k/1%/R0402,R_0402_5MIL_DWS,R11
1,33k/R0402,R_0402_5MIL_DWS,R12
1,2.7k/1%/R0402,R_0402_5MIL_DWS,R15
1,4.7k/R0402,R_0402_5MIL_DWS,R18
1,150R/R0402,R_0402_5MIL_DWS,R23
9,270R/R0402,R_0402_5MIL_DWS,"R25, R33, R34, R35, R36, R37, R38, R39, R40"
1,47R/R1206,R_1206_5MIL_DWS,R26
3,0R/R0402,R_0402_5MIL_DWS,"R47, R48, R49"
2,RA1206_(4x0603)_4B8_330R,RA1206_(4X0603)_4B8_xx,"RM1, RM2"
1,Speaker_QMB-09B-03(1.5-5.0V_2.7kHz_F9.0mm*H5.5mm),Speaker_QMB-09B-03_1-Plus_2-Minus,SPK1
1,LMUN2235LT1G(SOT-23),SOT23,T1
1,P25Q16SH-SUH-IR(SOIC-8_208mils),SO-8_208mil,U1
1,TPS62A02ADRLR(SOT-563-6),SOT-563-6,U2
1,RP2040(QFN-56_7x7mm_P0.4mm),QFN56_7x7_Pitch_0.4mm,U3
1,CH217K(SOT23-6L),SOT23-6,U4
1,FE1.1s(SSOP-28),SSOP28_10x4mm_Pitch_0.64mm,U5
1,W65C02S6TQTG-14(TQFP44),TQFP44_NEO6502,U6
3,74LVC245APW(TSSOP20),TSSOP20_Pitch-0.65mm_6.6x4.5x1.2mm,"U7, U8, U9"
1,BH10R,BH10R,UEXT1
4,USB-A-SMT-6.3H,USB-A-SMT-6.3H_HOST_Female,"USB-HOST1, USB-HOST2, USB-HOST3, USB-HOST4"
2,USB-C-16P-F(A40-00119-A52-12),USB2.0_TYPE-C(A40-00119-A52-12)_Paste,"USB-PGM1, USB-PWR1"
